Rank,Country,Total_Area_km2,Total_Area_mi2,Land_Area_km2,Land_Area_mi2,World_Share
154,Slovenia,20273,7827,20140,7776,0.014
155,New Caledonia,18575,7172,18280,7058,0.012
156,Fiji,18272,7055,18270,7054,0.012
157,Kuwait,17818,6880,17820,6880,0.012
158,Eswatini,17364,6704,17200,6641,0.012
159,Timor-Leste,14874,5743,14870,5741,0.01
160,Bahamas,13943,5383,10010,3865,0.0067
161,Montenegro,13812,5333,13450,5193,0.009
162,Vanuatu,12189,4706,12190,4707,0.0082
163,Falkland Islands,12173,4700,12170,4699,0.0082
164,Qatar,11586,4473,11610,4483,0.0078
165,Jamaica,10991,4244,10830,4181,0.0073
166,Gambia,10689,4127,10120,3907,0.0068
167,Lebanon,10452,4036,10230,3950,0.0069
168,Cyprus,9251,3572,9240,3568,0.0062
169,Puerto Rico,8870,3425,8870,3425,0.006
170,State of Palestine,6220,2402,6020,2324,0.004
171,Brunei Darussalam,5765,2226,5270,2035,0.0035
172,Trinidad and Tobago,5130,1981,5130,1981,0.0034
173,French Polynesia,4167,1609,3660,1413,0.0025
174,Cabo Verde,4033,1557,4030,1556,0.0027
175,Samoa,2842,1097,2830,1093,0.0019
176,Luxembourg,2586,998,2590,1000,0.0017
177,Réunion,2511,970,2500,965,0.0017
178,Mauritius,2040,788,2030,784,0.0014
179,Comoros,1862,719,1861,719,0.0012
180,Guadeloupe,1628,629,1690,653,0.0011
181,Faeroe Islands,1393,538,1396,539,0.00094
182,Martinique,1128,436,1060,409,0.00071
183,"China,  Hong Kong SAR",1104,426,1050,405,0.0007
184,Sao Tome and Principe,964,372,960,371,0.00064
185,Turks and Caicos Islands,948,366,950,367,0.00064
186,Kiribati,811,313,810,313,0.00054
187,Bahrain,765,295,760,293,0.00051
188,Dominica,751,290,750,290,0.0005
189,Tonga,747,288,720,278,0.00048
190,Singapore,710,274,700,270,0.00047
191,Micronesia,702,271,700,270,0.00047
192,Saint Lucia,616,238,610,236,0.00041
193,Isle of Man,572,221,570,220,0.00038
194,Guam,549,212,540,208,0.00036
195,Andorra,468,181,470,181,0.00032
196,Northern Mariana Islands,464,179,460,178,0.00031
197,Palau,459,177,460,178,0.00031
198,Seychelles,452,175,460,178,0.00031
199,Curaçao,444,171,444,171,0.0003
200,Antigua and Barbuda,442,171,440,170,0.0003
201,Barbados,430,166,430,166,0.00029
202,Saint Helena,394,152,390,151,0.00026
203,Saint Vincent and the Grenadines,389,150,390,151,0.00026
204,Mayotte,374,144,375,145,0.00025
205,United States Virgin Islands,347,134,350,135,0.00023
206,Grenada,344,133,340,131,0.00023
207,Caribbean Netherlands,328,127,328,127,0.00022
208,Malta,316,122,320,124,0.00021
209,Maldives,300,116,300,116,0.0002
210,Cayman Islands,264,102,240,93,0.00016
211,Saint Kitts and Nevis,261,101,260,100,0.00017
212,Niue,260,100,260,100,0.00017
213,Saint Pierre and Miquelon,242,93,230,89,0.00015
214,Cook Islands,236,91,240,93,0.00016
215,American Samoa,199,77,200,77,0.00013
216,Marshall Islands,181,70,180,69,0.00012
217,Aruba,180,69,180,69,0.00012
218,Liechtenstein,160,62,160,62,0.00011
219,British Virgin Islands,151,58,150,58,0.0001
220,Wallis and Futuna Islands,142,55,140,54,0.000094
221,Montserrat,102,39,100,39,0.000067
222,Anguilla,91,35,90,35,0.00006
223,San Marino,61,24,60,23,0.00004
224,Bermuda,54,21,50,19,0.000034
225,Saint Martin,53,20,53,20,0.000036
226,Sint Maarten,34,13,34,13,0.000023
227,"China,  Macao SAR ",30,12,30,12,0.00002
228,Tuvalu,26,10,30,12,0.00002
229,Nauru,21,8,20,8,0.000013
230,Saint Barthélemy,21,8,21,8,0.000014
231,Tokelau,12,5,10,4,0.0000067
232,Gibraltar,6,2,10,4,0.0000067
233,Monaco,2,1,1,1,0.000001
234,Holy See,0,0,0,0,0.00000027
